year,driverId,surname,forename,luck_total
1950,427,Trintignant,Maurice,0
1951,429,Pilette,André,0
1952,456,Salvadori,Roy,0
1953,429,Pilette,André,0
1954,449,Ward,Rodger,0
1955,449,Ward,Rodger,0
1956,429,Pilette,André,0
1957,418,Gregory,Masten,0
1958,360,McLaren,Bruce,0
1959,353,Lovely,Pete,0
1960,353,Lovely,Pete,0
1961,360,McLaren,Bruce,0
1962,340,Love,John,0
1963,305,Hailwood,Mike,0
1964,309,Revson,Peter,0
1965,293,Charlton,Dave,0
1966,278,Amon,Chris,0
1967,262,Oliver,Jackie,0
1968,235,Ickx,Jacky,0
1969,340,Love,John,0
1970,312,Redman,Brian,0
1971,182,Lauda,Niki,0
1972,182,Lauda,Niki,0
1973,235,Ickx,Jacky,0
1974,207,Andretti,Mario,0
1975,178,Jones,Alan,0
1976,208,de Villota,Emilio,0
1977,182,Lauda,Niki,0
1978,158,Cheever,Eddie,0
1979,152,Giacomelli,Bruno,0
1980,140,Johansson,Stefan,0
1981,136,Lammers,Jan,0
1982,90,Moreno,Roberto,0
1983,117,Prost,Alain,0
1984,84,Brundle,Martin,0
1985,122,Capelli,Ivan,0
1986,133,Caffi,Alex,0
1987,114,Dalmas,Yannick,0
1988,84,Brundle,Martin,0
1989,65,Herbert,Johnny,0
1990,78,Larini,Nicola,0
1991,78,Larini,Nicola,0
1992,71,Hill,Damon,0
1993,56,Irvine,Eddie,0
1994,44,Panis,Olivier,0
1995,44,Panis,Olivier,0
1996,58,Marques,Tarso,0
1997,21,Fisichella,Giancarlo,0
1998,21,Fisichella,Giancarlo,0
1999,23,Schumacher,Ralf,0
2000,54,Burti,Luciano,0
2001,41,Zonta,Ricardo,0
2002,19,Davidson,Anthony,0
2003,11,Sato,Takuma,0
2004,10,Glock,Timo,0
2005,17,Webber,Mark,0
2006,8,Räikkönen,Kimi,0
2007,1,Hamilton,Lewis,0
2008,1,Hamilton,Lewis,0
2009,2,Heidfeld,Nick,0
2010,2,Heidfeld,Nick,0
2011,2,Heidfeld,Nick,0
2012,3,Rosberg,Nico,0
2013,1,Hamilton,Lewis,0
2014,8,Räikkönen,Kimi,0
2015,1,Hamilton,Lewis,0
2016,3,Rosberg,Nico,0
2017,1,Hamilton,Lewis,0
2018,20,Vettel,Sebastian,0
2019,1,Hamilton,Lewis,0
2020,1,Hamilton,Lewis,0
2021,1,Hamilton,Lewis,0
2022,807,Hülkenberg,Nico,0
2023,1,Hamilton,Lewis,0
2024,807,Hülkenberg,Nico,0
