year,driverId,surname,forename,luck_total
1950,793,Sommer,Raymond,-4
1951,427,Trintignant,Maurice,-4
1952,475,Moss,Stirling,-4
1953,651,Macklin,Lance,-5
1954,554,Behra,Jean,-5
1955,427,Trintignant,Maurice,-3
1956,608,Castellotti,Eugenio,-4
1957,347,Bonnier,Jo,-3
1958,554,Behra,Jean,-6
1959,347,Bonnier,Jo,-4
1960,347,Bonnier,Jo,-5
1961,356,Brabham,Jack,-4
1962,456,Salvadori,Roy,-4
1963,289,Hill,Graham,-4
1964,278,Amon,Chris,-6
1965,360,McLaren,Bruce,-4
1966,346,Siffert,Jo,-4
1967,358,Rindt,Jochen,-6
1968,356,Brabham,Jack,-7
1969,262,Oliver,Jackie,-5
1970,262,Oliver,Jackie,-9
1971,280,Pescarolo,Henri,-5
1972,290,Fittipaldi,Wilson,-6
1973,329,Beuttler,Mike,-6
1974,200,Mass,Jochen,-8
1975,230,Brambilla,Vittorio,-6
1976,199,Reutemann,Carlos,-6
1977,221,Depailler,Patrick,-7
1978,219,Jabouille,Jean-Pierre,-7
1979,207,Andretti,Mario,-7
1980,219,Jabouille,Jean-Pierre,-8
1981,119,Patrese,Riccardo,-7
1982,110,de Cesaris,Andrea,-6
1983,119,Patrese,Riccardo,-6
1984,172,Laffite,Jacques,-8
1985,170,Fabi,Teo,-7
1986,160,Ghinzani,Piercarlo,-9
1987,105,Alboreto,Michele,-8
1988,110,de Cesaris,Andrea,-7
1989,122,Capelli,Ivan,-10
1990,103,Bernard,Éric,-8
1991,103,Bernard,Éric,-9
1992,99,Tarquini,Gabriele,-9
1993,55,Alesi,Jean,-8
1994,84,Brundle,Martin,-8
1995,89,Inoue,Taki,-7
1996,50,Verstappen,Jos,-6
1997,22,Barrichello,Rubens,-12
1998,22,Barrichello,Rubens,-7
1999,68,Takagi,Toranosuke,-9
2000,55,Alesi,Jean,-9
2001,4,Alonso,Fernando,-9
2002,56,Irvine,Eddie,-8
2003,21,Fisichella,Giancarlo,-8
2004,2,Heidfeld,Nick,-6
2005,39,Karthikeyan,Narain,-4
2006,14,Coulthard,David,-5
2007,17,Webber,Mark,-6
2008,16,Sutil,Adrian,-5
2009,67,Buemi,Sébastien,-3
2010,15,Trulli,Jarno,-9
2011,813,Maldonado,Pastor,-4
2012,1,Hamilton,Lewis,-2
2013,3,Rosberg,Nico,-3
2014,16,Sutil,Adrian,-4
2015,4,Alonso,Fernando,-4
2016,4,Alonso,Fernando,-2
2017,807,Hülkenberg,Nico,-5
2018,817,Ricciardo,Daniel,-4
2019,154,Grosjean,Romain,-2
2020,839,Ocon,Esteban,-4
2021,847,Russell,George,-4
2022,4,Alonso,Fernando,-3
2023,847,Russell,George,-3
2024,842,Gasly,Pierre,-4
